Location Name,lat,lon,Deaths,Damage Description,Total Death Description,Total Damage Description
,,,,,,
"JORDAN:  BAB-A-DARAA,AL-KARAK",31.1,35.5,11,3,,
SYRIA:  UGARIT,35.683,35.8,3,,3,
TURKMENISTAN:  W,38,58.2,1,1,1,1
GREECE:  THERA ISLAND (SANTORINI),36.4,25.4,,,3,3
ISRAEL:  ARIHA (JERICHO),31.5,35.3,6,3,,
ITALY:  LACUS CIMINI,35.5,25.5,7,,,
SYRIAN COASTS,35.683,35.8,,3,,3
ISRAEL:  ARIHA (JERICHO),32,35.5,5,3,,
JORDAN:  SW:  TIMNA COPPER MINES,29.6,35,,3,,
ISRAEL:  JERUSALEM,33,35.5,6,3,,3
LEBANON:  SUR (TYRE),33.27,35.22,,,,
GREECE:  MOUNT TAYGETUS,37,22.5,7,,,
"LEBANON:  SUR (TYRE), SAYDA (SAIDA)",33.56,35.37,,,,
GREECE:  SARONIC GULF,37.9,23.5,8,,,
GREECE:  MACEDONIA,39.7,23.3,,,3,
GREECE:  ROMAN TERRITORIES,37,22.5,,1,,1
GREECE:  EUBOEA,38.9,22.7,2500,3,4,3
"IRAN:  REY,EIVAN-E-KAY",35.5,51.8,,3,,3
GREECE,38.25,22.25,6,3,3,3
ITALY:  ROME,35,25,6,1,,1
GREECE:  AEGEAN SEA,40,25,,,,
INDIA:  KUTCH,23,71,,,,1
TURKEY:  LYSIMACHIA,41,27,7,,,
GREECE:  DELPHI,38.5,22.5,,1,,1
KYRGYZSTAN:  CHIGUCHIN,42.7,77.5,,3,,3
SPAIN:  CADIZ,36,-8.5,,,,
GREECE:  DODECANESE ISLANDS,36.3,28.3,78,1,,1
GREECE,,,,,,
EGYPT:  SIWA OASIS; LIBYA,29.2,25.5,,2,,2
"ITALY:  LIGURIA (LIGURIE), GAULE",44.3,8.5,89,3,,
SPAIN:  CADIZ,36.2,-7.17,,2,1,2
PORTUGAL:  CABO SAN VICENTE,36,-10.5,,,,
EAST MEDITERRANEAN SEA,36.404,25.396,78,,,
CHINA:  GANSU PROVINCE:  LINTAO,35.4,103.9,98,2,,2
CHINA:  GANSU PROVINCE,33.8,105.6,760,,3,
ITALY:  SABINES,,,,2,,2
CHINA:  SHANDONG PROVINCE,36.3,119,6000,,4,
RUSSIA:  PANTIKAPEY,45.2,36.6,,3,,3
PORTUGAL:  CABO SAN VICENTE,36,-10.7,,,,3
ALBANIA:  DYRRACHIUM,41.3,19.5,,,,
"BULGARIA:  BISONE [KAVARNA], DIONISOPOLIS [BALCHIK]",43.5,28.5,,2,,2
GEORGIA:  DYOSCURIA [SUKHUMI],43,41,67,2,,2
CHINA:  GANSU PROVINCE:  LONGXI,34.9,104.7,78,2,3,2
ISRAEL:  PALESTINE,31.2,34.2,30000,,4,
"ISRAEL:  QUMRAN,ARIHA (JERICHO)",32,35.5,,3,,
EGYPT:  THEBES,25.7,32.7,,3,,3
